"Alloys","Phase","Tg","Tx","Tl","Rc_mm/s","Dmax_mm"
"Al10.4Co20.8Cr20.8Fe20.8Mo6.3Ni20.8","CMA",900,1105,1473,"NAN","NAN"
"Al15.4Co15.4Cr30.8Cu7.7Fe15.4Ni15.4","CMA",801,848,1270,"NAN","NAN"
"Al14.8Co21.3Cr21.3Fe21.3Ni21.3","CMA",822,903,1319,"NAN","NAN"
"Al14.29Co14.29Cr14.29Cu14.29Fe14.29Mn14.29Ni14.29","CMA",805,842,1254,"NAN","NAN"
"Al16.7Cr20.8Fe31.3Mn20.8Ni10.4","CMA",797,840,1264,"NAN","NAN"
"Al14.9Co21.3Cr21.3Fe21.3Ni21.3","CMA",822,903,1319,"NAN","NAN"
"Al15.97Co16.81Cr16.81Fe16.81Mn16.81Ni16.81","CMA",797,833,1253,"NAN","NAN"
"Al16.67Cr16.67Cr16.67Fe16.67Fe16.67Ni16.67","CMA",811,852,1260,"NAN","NAN"
"Al14.3Co42.9Cu14.3Fe14.3Ni14.3","CMA",792,884,1340,"NAN","NAN"
"Al13.3Co13.3Cr13.3Cu6.7Fe13.3Ni40","CMA",820,925,1352,"NAN","NAN"
"Al16.7Co16.7Cr33.3Fe16.7Ni16.7","CMA",814,856,1262,"NAN","NAN"
"Al15.79Co21.05Cr21.05Fe21.05Ni21.05","CMA",809,861,1277,"NAN","NAN"
"Al13.8Co17.2Cr17.2Cu17.2Fe17.2Ni17.2","CMA",812,880,1301,"NAN","NAN"
"Al15Co25Fe25Ni25Cr10","CMA",820,905,1324,"NAN","NAN"
"Al15.4Co15.4Cr15.4Cu7.7Fe30.8Ni15.4","CMA",808,856,1270,"NAN","NAN"
"Al15.1Co18.9Cr18.9Fe18.9Ni18.9Ti9.4","CMA",798,830,1248,"NAN","NAN"
"Al10.2Co20.4Cr20.4Fe20.4Mo8.2Ni20.4","CMA",905,1111,1473,"NAN","NAN"
"Al16.7Co16.7Cr16.7Fe16.7Ni16.7V16.7","CMA",810,845,1252,"NAN","NAN"
"Al16.67Cr16.67Mn16.67Fe16.67Ni16.67Ti16.67","CMA",784,845,1293,"NAN","NAN"
"Al14.3Co14.3Cr14.3Cu7.1Fe14.3Ni35.7","CMA",820,927,1357,"NAN","NAN"
"Al14.29Co14.29Cr14.29Cu14.29Fe14.29Ni14.29V14.29","CMA",776,820,1268,"NAN","NAN"
"Al15.38Co30.77Cu15.38Mn7.69Fe15.38Ni15.38","CMA",789,875,1330,"NAN","NAN"
"Al13.79Cr17.24Cu17.24Fe17.24Ni34.48","CMA",809,876,1300,"NAN","NAN"
"Al16.7Co20.8Cr20.8Fe20.8Ni20.8","CMA",802,849,1270,"NAN","NAN"
"Al13.8Cr17.2Cu17.2Fe17.2Ni34.5","CMA",809,876,1300,"NAN","NAN"
"Al16.6Co20.8Cr20.8Fe20.8Ni20.8","CMA",802,849,1270,"NAN","NAN"
"Al15.38Co15.38Cr15.38Fe15.38Ni15.38Ti23.08","CMA",783,837,1282,"NAN","NAN"
"Al15.4Co30.8Cr15.4Cu7.7Fe15.4Ni15.4","CMA",812,877,1296,"NAN","NAN"
"Al16.7Co16.7Cr25.0Cu8.3Fe16.7Ni16.7","CMA",796,836,1260,"NAN","NAN"
"Al17.50Co7.50Cr25Fe25Ni25","CMA",802,849,1270,"NAN","NAN"
"Al14.9Cr21.3Cu21.3Fe21.3Ni21.3","CMA",804,844,1259,"NAN","NAN"
"Al18.2Co9.1Cr9.1Fe9.1Mn18.2Ni18.2V18.2","CMA",774,819,1270,"NAN","NAN"
"Al17.2Co17.2Cr17.2Fe17.2Ni17.2V13.8","CMA",796,836,1260,"NAN","NAN"
"Al16.7Cr16.7Cu16.7Fe16.7Mn16.7Ni16.7","CMA",793,832,1260,"NAN","NAN"
